Date,Equipment,Issue Reported,Severity,Action Taken
2025-04-07,Compressor-2,Electrical fault,High,Awaiting spare parts
2025-05-18,Valve-3,Unusual noise,High,Temporary fix
2025-04-12,Valve-3,Filter clogging,High,Lubricated
2025-04-08,Valve-3,Low pressure,Low,Temporary fix
2025-03-25,Generator-X,Low pressure,High,Lubricated
2025-01-13,Pump-B,Vibration,Low,Awaiting spare parts
2025-07-04,Valve-3,Overheating,High,Routine check
2025-07-19,Boiler-1,High pressure,High,Part replaced
2025-04-08,Pump-A,High pressure,Low,Routine check
2025-05-02,Pump-B,Electrical fault,High,Temporary fix
2025-01-16,Compressor-1,Electrical fault,Medium,Part replaced
2025-03-22,Compressor-1,Electrical fault,High,Temporary fix
2025-02-02,Pump-B,Low pressure,Medium,Lubricated
2025-06-03,Pump-A,Electrical fault,Low,Adjusted settings
2025-01-13,Pump-A,Low pressure,Low,Escalated to engineering
2025-03-18,Boiler-2,Low pressure,Low,Part replaced
2025-03-17,Generator-Y,Electrical fault,Medium,Temporary fix
2025-07-21,Boiler-2,Electrical fault,Medium,Adjusted settings
2025-04-16,Pump-A,High pressure,Medium,Escalated to engineering
2025-03-09,Pump-C,Oil leak,Medium,Escalated to engineering
2025-03-22,Generator-Y,High pressure,Medium,Adjusted settings
2025-03-29,Boiler-2,Oil leak,Medium,Awaiting spare parts
2025-07-20,Compressor-2,High pressure,Low,Part replaced
2025-07-20,Boiler-2,Oil leak,Low,Adjusted settings
2025-03-04,Generator-X,Low pressure,Medium,Escalated to engineering
2025-04-08,Pump-C,Overheating,Medium,Escalated to engineering
2025-03-28,Compressor-2,Oil leak,Medium,Routine check
2025-06-11,Generator-X,High pressure,Low,Part replaced
2025-01-03,Generator-Y,Overheating,Low,Escalated to engineering
2025-01-31,Pump-C,Overheating,Low,Lubricated
2025-07-15,Boiler-1,Electrical fault,High,Adjusted settings
2025-06-18,Boiler-1,Low pressure,Low,Adjusted settings
2025-07-15,Generator-X,Vibration,Low,Adjusted settings
2025-01-27,Pump-B,Overheating,High,Lubricated
2025-01-26,Pump-B,High pressure,High,Escalated to engineering
2025-07-28,Compressor-2,Electrical fault,Low,Routine check
2025-07-14,Boiler-2,Oil leak,Medium,Routine check
2025-05-31,Boiler-2,Electrical fault,High,Adjusted settings
2025-05-07,Boiler-2,Overheating,Low,Part replaced
2025-02-14,Valve-3,High pressure,Low,Adjusted settings
2025-07-25,Compressor-2,Filter clogging,High,Part replaced
2025-04-15,Compressor-2,Overheating,Medium,Temporary fix
2025-01-20,Pump-C,Vibration,Low,Part replaced
2025-02-22,Boiler-2,Low pressure,High,Part replaced
2025-07-14,Boiler-1,High pressure,Medium,Part replaced
2025-03-30,Valve-3,Electrical fault,High,Escalated to engineering
2025-01-13,Boiler-1,High pressure,High,Escalated to engineering
2025-02-13,Generator-X,Low pressure,Low,Awaiting spare parts
2025-03-21,Pump-C,Vibration,High,Temporary fix
2025-06-27,Compressor-1,High pressure,Medium,Lubricated
2025-07-24,Compressor-2,Oil leak,High,Routine check
2025-04-20,Compressor-2,Low pressure,Medium,Temporary fix
2025-03-15,Boiler-1,High pressure,Low,Temporary fix
2025-02-20,Pump-B,Vibration,Low,Part replaced
2025-02-09,Boiler-1,Low pressure,High,Escalated to engineering
2025-06-07,Boiler-1,Vibration,Medium,Adjusted settings
2025-07-18,Generator-Y,Unusual noise,High,Part replaced
2025-03-17,Pump-C,Filter clogging,Low,Part replaced
2025-02-19,Boiler-2,Electrical fault,Low,Temporary fix
2025-07-29,Pump-B,Filter clogging,High,Lubricated
2025-01-04,Boiler-2,Oil leak,Low,Escalated to engineering
2025-06-05,Generator-Y,Unusual noise,Low,Escalated to engineering
2025-03-07,Generator-X,Unusual noise,Medium,Routine check
2025-06-05,Compressor-1,High pressure,High,Temporary fix
2025-05-09,Pump-C,Low pressure,Low,Awaiting spare parts
2025-03-26,Compressor-1,Low pressure,Low,Routine check
2025-06-29,Pump-B,Vibration,Medium,Temporary fix
2025-04-23,Boiler-1,Low pressure,Low,Awaiting spare parts
2025-04-19,Generator-X,Overheating,Medium,Lubricated
2025-03-07,Generator-X,Low pressure,Medium,Lubricated
2025-01-14,Boiler-2,Unusual noise,High,Escalated to engineering
2025-04-03,Pump-B,Filter clogging,High,Awaiting spare parts
2025-02-25,Boiler-1,Vibration,High,Routine check
2025-06-25,Generator-X,Unusual noise,High,Temporary fix
